,Nb sommets,Nb aretes,Time_limit,Statut_exp,Statut_CP,Statut_CPM,Statut_Martin,Statut_cycle,Objectif_exp,Objectif_CP,Objectif_CPM,Objectif_Martin,Objectif_cycle,Ecriture_exp,Ecriture_CP,Ecriture_CPM,Ecriture_Martin,Ecriture_cycle,Resolution_exp,Resolution_CP,Resolution_CPM,Resolution_Martin,Resolution_cycle
Spd_RF2_300_407_4331,300,407,827,,1,,,1.0,,48,,,57.0,,0.07937502861022949,,,47.0,,12.667241334915161,,,11.6750648021698
Spd_RF2_300_407_4339,300,407,827,,1,,,1.0,,47,,,56.0,,0.07454633712768555,,,12.0,,13.291149854660034,,,8.251159906387329
Spd_RF2_300_407_4347,300,407,827,,1,,,,,46,,,,,0.1484394073486328,,,,,24.75563097000122,,,
Spd_RF2_300_407_4355,300,407,827,,1,,,,,44,,,,,0.16624808311462402,,,,,76.54519367218018,,,
Spd_RF2_300_407_4363,300,407,827,,1,,,1.0,,46,,,64.0,,0.0741739273071289,,,28.0,,30.17390489578247,,,9.265635251998901
Spd_RF2_300_434_4371,300,434,854,,1,,,1.0,,36,,,55.0,,0.07865381240844727,,,20.0,,135.03284454345703,,,9.006773710250854
Spd_RF2_300_434_4379,300,434,854,,1,,,,,35,,,,,0.09040594100952148,,,,,12.795829057693481,,,
Spd_RF2_300_434_4387,300,434,854,,1,,,1.0,,36,,,51.0,,0.08722233772277832,,,56.0,,20.72033715248108,,,18.247252225875854
Spd_RF2_300_434_4395,300,434,854,,1,,,1.0,,39,,,45.0,,0.07785630226135254,,,7.0,,95.65663528442383,,,6.326566457748413
Spd_RF2_300_434_4403,300,434,854,,1,,,1.0,,40,,,54.0,,0.10899662971496582,,,14.0,,22.163578987121582,,,8.786888360977173
Spd_RF2_350_378_4411,350,378,848,,1,,,1.0,,96,,,99.0,,0.0783989429473877,,,6.0,,5.453278064727783,,,2.0721447467803955
Spd_RF2_350_378_4419,350,378,848,,1,,,1.0,,93,,,97.0,,0.07328963279724121,,,6.0,,6.457982301712036,,,2.1522581577301025
Spd_RF2_350_378_4427,350,378,848,,1,,,1.0,,96,,,98.0,,0.07733893394470215,,,5.0,,2.8162262439727783,,,2.3456335067749023
Spd_RF2_350_378_4435,350,378,848,,1,,,,,94,,,,,0.10632729530334473,,,,,2.4673900604248047,,,
Spd_RF2_350_378_4443,350,378,848,,1,,,1.0,,94,,,99.0,,0.07694077491760254,,,10.0,,2.8758151531219482,,,2.825510025024414
Spd_RF2_350_406_4451,350,406,876,,1,,,1.0,,82,,,89.0,,0.0812838077545166,,,15.0,,11.25062108039856,,,4.995742321014404
Spd_RF2_350_406_4459,350,406,876,,1,,,1.0,,81,,,86.0,,0.07805991172790527,,,6.0,,10.297585725784302,,,3.5255560874938965
Spd_RF2_350_406_4467,350,406,876,,1,,,1.0,,82,,,91.0,,0.0872952938079834,,,18.0,,19.08821129798889,,,5.555567026138306
Spd_RF2_350_406_4475,350,406,876,,1,,,1.0,,78,,,86.0,,0.07722759246826172,,,8.0,,8.465517282485962,,,3.486872911453247
Spd_RF2_350_406_4483,350,406,876,,1,,,1.0,,80,,,88.0,,0.0889134407043457,,,7.0,,26.17699646949768,,,2.998061180114746
Spd_RF2_350_435_4491,350,435,905,,1,,,,,65,,,,,0.12555694580078125,,,,,18.60904097557068,,,
Spd_RF2_350_435_4499,350,435,905,,1,,,1.0,,63,,,72.0,,0.08820509910583496,,,9.0,,449.1661102771759,,,4.500429153442383
Spd_RF2_350_435_4507,350,435,905,,1,,,1.0,,64,,,75.0,,0.08426666259765625,,,20.0,,22.32629895210266,,,6.2295684814453125
Spd_RF2_350_435_4515,350,435,905,,1,,,1.0,,69,,,80.0,,0.08188343048095703,,,23.0,,24.843801498413086,,,5.324342489242554
Spd_RF2_350_435_4523,350,435,905,,1,,,1.0,,66,,,76.0,,0.08548116683959961,,,11.0,,39.37686800956726,,,4.593157052993774
Spd_RF2_350_463_4531,350,463,933,,1,,,1.0,,59,,,76.0,,0.0893251895904541,,,23.0,,28.635780334472656,,,8.138534784317017
Spd_RF2_350_463_4539,350,463,933,,1,,,1.0,,56,,,73.0,,0.08673667907714844,,,33.0,,30.48241353034973,,,8.650931358337402
Spd_RF2_350_463_4547,350,463,933,,1,,,1.0,,57,,,70.0,,0.08951282501220703,,,8.0,,490.66530871391296,,,4.882721900939941
Spd_RF2_350_463_4555,350,463,933,,1,,,1.0,,55,,,70.0,,0.08784747123718262,,,43.0,,76.99217677116394,,,11.766195058822632
Spd_RF2_350_463_4563,350,463,933,,1,,,1.0,,56,,,71.0,,0.202728271484375,,,18.0,,490.67327427864075,,,8.687197923660278
Spd_RF2_350_492_4571,350,492,962,,1,,,1.0,,46,,,64.0,,0.1275033950805664,,,50.0,,83.85558366775513,,,14.580519676208496
Spd_RF2_350_492_4579,350,492,962,,1,,,1.0,,50,,,66.0,,0.1290287971496582,,,23.0,,778.8943395614624,,,10.944125890731812
Spd_RF2_350_492_4587,350,492,962,,1,,,1.0,,41,,,66.0,,0.09600234031677246,,,72.0,,1706.9074478149414,,,19.137990474700928
Spd_RF2_350_492_4595,350,492,962,,1,,,1.0,,41,,,63.0,,0.10492658615112305,,,16.0,,96.62445402145386,,,8.344684839248657
Spd_RF2_350_492_4603,350,492,962,,1,,,1.0,,48,,,64.0,,0.11243963241577148,,,31.0,,148.28060936927795,,,10.150047302246094
Spd_RF2_400_429_4611,400,429,949,,1,,,1.0,,112,,,115.0,,0.1426830291748047,,,4.0,,2.775210380554199,,,1.8691411018371582
Spd_RF2_400_429_4619,400,429,949,,1,,,1.0,,112,,,117.0,,0.17443084716796875,,,6.0,,1.9929027557373047,,,1.9356052875518799
Spd_RF2_400_429_4627,400,429,949,,1,,,1.0,,112,,,117.0,,0.1501936912536621,,,6.0,,6.367418527603149,,,1.9883859157562256
Spd_RF2_400_429_4635,400,429,949,,1,,,1.0,,110,,,111.0,,0.21039295196533203,,,5.0,,10.535361289978027,,,1.7186174392700195
Spd_RF2_400_429_4643,400,429,949,,1,,,1.0,,113,,,117.0,,0.18619632720947266,,,13.0,,5.004331588745117,,,2.2453489303588867
Spd_RF2_400_459_4651,400,459,979,,1,,,1.0,,95,,,106.0,,0.21365833282470703,,,14.0,,28.776731491088867,,,3.7764408588409424
Spd_RF2_400_459_4659,400,459,979,,1,,,1.0,,91,,,102.0,,0.17407703399658203,,,8.0,,9.734856128692627,,,3.945563316345215
Spd_RF2_400_459_4667,400,459,979,,1,,,1.0,,94,,,100.0,,0.19627046585083008,,,6.0,,232.13226890563965,,,3.1872150897979736
Spd_RF2_400_459_4675,400,459,979,,1,,,1.0,,96,,,104.0,,0.17572641372680664,,,5.0,,158.86563158035278,,,3.218425989151001
Spd_RF2_400_459_4683,400,459,979,,1,,,1.0,,94,,,104.0,,0.15498948097229004,,,16.0,,47.82571840286255,,,4.221140146255493
Spd_RF2_400_489_4691,400,489,1009,,1,,,1.0,,76,,,88.0,,0.29990148544311523,,,12.0,,75.81237959861755,,,4.74474024772644
Spd_RF2_400_489_4699,400,489,1009,,1,,,1.0,,80,,,90.0,,0.16270661354064941,,,10.0,,43.79704141616821,,,6.9468019008636475
Spd_RF2_400_489_4707,400,489,1009,,1,,,1.0,,80,,,96.0,,0.17690515518188477,,,11.0,,33.138200759887695,,,5.227393388748169
Spd_RF2_400_489_4715,400,489,1009,,1,,,1.0,,78,,,94.0,,0.17347264289855957,,,10.0,,46.953245878219604,,,4.955416679382324
Spd_RF2_400_489_4723,400,489,1009,,1,,,1.0,,81,,,92.0,,0.19831633567810059,,,7.0,,546.316258430481,,,5.001008987426758
Spd_RF2_400_519_4731,400,519,1039,,1,,,1.0,,69,,,83.0,,0.24220657348632812,,,22.0,,327.75678753852844,,,9.124665260314941
Spd_RF2_400_519_4739,400,519,1039,,1,,,1.0,,65,,,80.0,,0.22878122329711914,,,16.0,,140.9234664440155,,,8.713624238967896
Spd_RF2_400_519_4747,400,519,1039,,1,,,1.0,,70,,,81.0,,0.09900021553039551,,,7.0,,117.15364575386047,,,5.097318649291992
Spd_RF2_400_519_4755,400,519,1039,,1,,,1.0,,68,,,86.0,,0.10268545150756836,,,16.0,,1118.122370481491,,,11.61872386932373
Spd_RF2_400_519_4763,400,519,1039,,1,,,1.0,,69,,,76.0,,0.1331496238708496,,,4.0,,25.434284687042236,,,5.937801122665405
Spd_RF2_400_549_4771,400,549,1069,,1,,,1.0,,57,,,79.0,,0.12557673454284668,,,55.0,,255.20807552337646,,,14.271548748016357
Spd_RF2_400_549_4779,400,549,1069,,1,,,,,54,,,,,0.11279940605163574,,,,,99.58864402770996,,,
Spd_RF2_400_549_4787,400,549,1069,,1,,,1.0,,56,,,73.0,,0.13609099388122559,,,55.0,,62.5684072971344,,,17.338341236114502
Spd_RF2_400_549_4795,400,549,1069,,1,,,,,54,,,,,0.10327506065368652,,,,,83.70628356933594,,,
Spd_RF2_400_549_4803,400,549,1069,,1,,,1.0,,59,,,76.0,,0.13295292854309082,,,122.0,,64.41143608093262,,,29.271260261535645
Spd_RF2_450_482_4811,450,482,1052,,1,,,1.0,,125,,,130.0,,0.10296320915222168,,,9.0,,7.301573038101196,,,2.430419921875
Spd_RF2_450_482_4819,450,482,1052,,1,,,1.0,,126,,,129.0,,0.0975809097290039,,,4.0,,4.674712419509888,,,2.1609132289886475
Spd_RF2_450_482_4827,450,482,1052,,1,,,1.0,,126,,,136.0,,0.14311003684997559,,,12.0,,6.650213003158569,,,2.531073808670044
Spd_RF2_450_482_4835,450,482,1052,,1,,,1.0,,125,,,132.0,,0.11313271522521973,,,6.0,,8.12972378730774,,,1.9567184448242188
Spd_RF2_450_482_4843,450,482,1052,,1,,,1.0,,126,,,129.0,,0.09745383262634277,,,3.0,,2.742584705352783,,,1.848728895187378
Spd_RF2_450_515_4851,450,515,1085,,1,,,1.0,,107,,,116.0,,0.10133528709411621,,,7.0,,32.293800354003906,,,3.5509755611419678
